	MODEL	no_context_ACC	no_context_F1	no_context_BEM	rel_context_ACC	rel_context_F1	rel_context_BEM	wrong-date_context_ACC	wrong-date_context_F1	wrong-date_context_BEM	rand_context_ACC	rand_context_F1	rand_context_BEM
0	gemma-7b + mixed-context	0.506666666666666	0.35410582010582003	0.527324170668919	0.8266666666666661	0.6980105820105811	0.9010492331782971	0.7733333333333331	0.671788359788359	0.852249168554941	0.45333333333333303	0.35500529100529105	0.48528764213124903
1	gemma-1.1-2b-it + mixed-context	0.22666666666666602	0.14071957671957602	0.375188782264788	0.76	0.451216931216931	0.832362859149773	0.7333333333333331	0.417238095238095	0.81306963533163	0.08	0.040751322751322004	0.32304038087526904
2	gemma-1.1-7b-it + mixed-context	0.4	0.259142857142857	0.47936644921700106	0.866666666666666	0.538052910052909	0.8716940211256341	0.746666666666666	0.43803174603174605	0.7688594973584011	0.28	0.179259259259259	0.36719623044133104
3	gemma-2b + mixed-context	0.33333333333333304	0.225735449735449	0.35658988391359603	0.76	0.618169312169311	0.8332687161862851	0.7333333333333331	0.5755661375661371	0.788740291992823	0.146666666666666	0.13635978835978801	0.24183090239763202
